url,title,text,conn_type,depth
http://xmh57jrknzkhv6y3ls3ubitzfqnkrwxhopf5aygthi7d6rplyvk3noyd.onion/cgi-bin/omega/omega,TORCH: Tor Search!,"if (!(""autofocus"" in document.createElement(""input""))) document.getElementById(""omega-autofocus"").focus(); Matching any words Matching all words Searching 3,642,332 documents Advertise now in Torch. Click here.",Tor,0
http://xmh57jrknzkhv6y3ls3ubitzfqnkrwxhopf5aygthi7d6rplyvk3noyd.onion/adinfo.html,TORCH: Tor Search! Advertise on TORCH,"Advertise on TORCH TORCH: Tor Search is a very efficient crawler and search engine which is 24 hour indexing new contents from the TOR network. It serves over 80,000 search requests every day from TOR users looking for content in TOR network and it is referred by hundreds of sites within TOR and also on the clear web. Click here to view the 2016 August's statistics . * NOTE * As being a hiden service, please, consider the ""Hits"" and ""Pages"" columns from the report and ignore the ""Visits"" and ""Si",Direct,1
http://xmh57jrknzkhv6y3ls3ubitzfqnkrwxhopf5aygthi7d6rplyvk3noyd.onion/cgi-bin/omega/omega,TORCH: Tor Search!,"if (!(""autofocus"" in document.createElement(""input""))) document.getElementById(""omega-autofocus"").focus(); Matching any words Matching all words Searching 3,642,332 documents Advertise now in Torch. Click here.",Direct,1
http://area23t77sf3reef4bfzrb6r7u54bp6vvdbtmf4g35ic2nc44vcqkxad.onion/auth/signup,AREA23 - Index,"Home About Why us? Login SignUp Advertising services for onion net companies We offer ad banner placement in websites: For owners who want to earn money with their spare website spaces. For businesses and e-commerces as a way to be promoted to become well known in Tor. We work with the main services providers, content editors, publishers and e-commerce owners. Sign up now for an account and start promoting your business. TRENDS Traffic in real time You can know in any moment how your campaigns a",Direct,2
http://xmh57jrknzkhv6y3ls3ubitzfqnkrwxhopf5aygthi7d6rplyvk3noyd.onion/cgi-bin/omega/omega,TORCH: Tor Search!,"if (!(""autofocus"" in document.createElement(""input""))) document.getElementById(""omega-autofocus"").focus(); Matching any words Matching all words Searching 3,642,332 documents Advertise now in Torch. Click here.",Direct,2
http://xmh57jrknzkhv6y3ls3ubitzfqnkrwxhopf5aygthi7d6rplyvk3noyd.onion/adinfo.html,TORCH: Tor Search! Advertise on TORCH,"Advertise on TORCH TORCH: Tor Search is a very efficient crawler and search engine which is 24 hour indexing new contents from the TOR network. It serves over 80,000 search requests every day from TOR users looking for content in TOR network and it is referred by hundreds of sites within TOR and also on the clear web. Click here to view the 2016 August's statistics . * NOTE * As being a hiden service, please, consider the ""Hits"" and ""Pages"" columns from the report and ignore the ""Visits"" and ""Si",Direct,2
http://xmh57jrknzkhv6y3ls3ubitzfqnkrwxhopf5aygthi7d6rplyvk3noyd.onion/cgi-bin/omega/omega,TORCH: Tor Search!,"if (!(""autofocus"" in document.createElement(""input""))) document.getElementById(""omega-autofocus"").focus(); Matching any words Matching all words Searching 3,642,332 documents Advertise now in Torch. Click here.",Direct,2
