url,title,text,conn_type,depth
https://www.bbc.com/usingthebbc/cookies/how-can-i-change-my-bbc-cookie-settings/,How can I change my BBC cookie settings?,"Homepage Accessibility links Skip to content Accessibility Help Sign in require([""idcta/statusbar""],function(a){new a.Statusbar({id:""idcta-statusbar"",publiclyCacheable:!0})}),document.querySelector("".idcta-wrapper"").classList.remove(""no-js"") Notifications Home News Sport Weather iPlayer Sounds Bitesize CBeebies CBBC Food Home News Sport Business Innovation Culture Travel Earth Video Live More menu Search BBC Home News Sport Weather iPlayer Sounds Bitesize CBeebies CBBC Food Home News Sport Busin",Direct,2
https://www.aljazeera.com/live,LIVE - Al Jazeera English | Video broadcast from Al Jazeera,"[3,4,0,2,8,16] {""namedChunks"":[""common-route""]} Skip links Skip to Content play Live Sign up Enrich your Al Jazeera experience by signing in or creating an account. Close Tooltip Close navigation menu Navigation menu News Show more news sections Africa Asia US & Canada Latin America Europe Asia Pacific Middle East Explained Opinion Sport Video More Show more sections Features Economy Human Rights Climate Crisis Investigations Interactives In Pictures Science & Technology Podcasts Travel play Liv",Direct,1
https://www.bbc.com/usingthebbc/cookies/,Take control of your cookies,"Homepage Accessibility links Skip to content Accessibility Help Sign in require([""idcta/statusbar""],function(a){new a.Statusbar({id:""idcta-statusbar"",publiclyCacheable:!0})}),document.querySelector("".idcta-wrapper"").classList.remove(""no-js"") Notifications Home News Sport Weather iPlayer Sounds Bitesize CBeebies CBBC Food Home News Sport Business Innovation Culture Travel Earth Video Live More menu Search BBC Home News Sport Weather iPlayer Sounds Bitesize CBeebies CBBC Food Home News Sport Busin",Direct,2
https://www.aljazeera.com/news/,News | Today's latest from Al Jazeera,"[4,0,2,39] {""namedChunks"":[""section-route""]} Advertisement Skip links Skip to Featured Content Skip to Content Feed play Live Sign up Enrich your Al Jazeera experience by signing in or creating an account. Close Tooltip Close navigation menu Navigation menu News Show more news sections Africa Asia US & Canada Latin America Europe Asia Pacific Middle East Explained Opinion Sport Video More Show more sections Features Economy Human Rights Climate Crisis Investigations Interactives In Pictures Scie",Direct,1
https://privacy.aljazeera.net/cookie/,Cookie Policy – Al Jazeera Privacy,Skip to content Facebook Twitter Email Home Our Network Al Jazeera Media Institute Al Jazeera Centre for Studies Al Jazeera Centre for Public Liberties & Human Rights Al Jazeera Forum Our Channels Al Jazeera English Al Jazeera Arabic Al Jazeera Balkans Al Jazeera Mubasher Al Jazeera Documentary AJ+ AJ+ Arabi AJ+ Español AJ+ French Careers How to Watch Submit Privacy Request Data Access Request Home Our Network Al Jazeera Media Institute Al Jazeera Centre for Studies Al Jazeera Centre for Public ,Direct,2
https://www.bbc.co.uk/contact,Contact Home | Contact the BBC,"Homepage Accessibility links Skip to content Accessibility Help Sign in require([""idcta/statusbar""],function(a){new a.Statusbar({id:""idcta-statusbar"",publiclyCacheable:!0})}),document.querySelector("".idcta-wrapper"").classList.remove(""no-js"") Notifications Home News Sport Weather iPlayer Sounds Bitesize CBeebies CBBC Food Home News Sport Business Innovation Culture Travel Earth Video Live More menu Search BBC Home News Sport Weather iPlayer Sounds Bitesize CBeebies CBBC Food Home News Sport Busin",Direct,2
https://www.aljazeera.com/africa/,Africa News | Today's latest from Al Jazeera,"[4,0,2,39] {""namedChunks"":[""section-route""]} Advertisement Skip links Skip to Featured Content Skip to Content Feed play Live Sign up Enrich your Al Jazeera experience by signing in or creating an account. Close Tooltip Close navigation menu Navigation menu News Show more news sections Africa Asia US & Canada Latin America Europe Asia Pacific Middle East Explained Opinion Sport Video More Show more sections Features Economy Human Rights Climate Crisis Investigations Interactives In Pictures Scie",Direct,1
https://www.bbc.co.uk/accessibility/,Accessibility - BBC,"Homepage Accessibility links Skip to content Accessibility Help Sign in require([""idcta/statusbar""],function(a){new a.Statusbar({id:""idcta-statusbar"",publiclyCacheable:!0})}),document.querySelector("".idcta-wrapper"").classList.remove(""no-js"") Notifications Home News Sport Weather iPlayer Sounds Bitesize CBeebies CBBC Food Home News Sport Business Innovation Culture Travel Earth Video Live More menu Search BBC Home News Sport Weather iPlayer Sounds Bitesize CBeebies CBBC Food Home News Sport Busin",Direct,2
https://privacy.aljazeera.net/cookie/,Cookie Policy – Al Jazeera Privacy,Skip to content Facebook Twitter Email Home Our Network Al Jazeera Media Institute Al Jazeera Centre for Studies Al Jazeera Centre for Public Liberties & Human Rights Al Jazeera Forum Our Channels Al Jazeera English Al Jazeera Arabic Al Jazeera Balkans Al Jazeera Mubasher Al Jazeera Documentary AJ+ AJ+ Arabi AJ+ Español AJ+ French Careers How to Watch Submit Privacy Request Data Access Request Home Our Network Al Jazeera Media Institute Al Jazeera Centre for Studies Al Jazeera Centre for Public ,Direct,2
https://www.instagram.com/aljazeeraenglish/?hl=en,Al Jazeera English (@aljazeeraenglish) • Instagram photos and videos,"{""require"":[[""qplTimingsServerJS"",null,null,[""7572137110322578532"",""splash_screen_show""]]]} {""require"":[[""maybeDisableAnimations"",null,null,[]]]} {""require"":[[""replaceNativeTimer"",null,null,[]]]} {""require"":[[""bootstrapWebSession"",null,null,[1763025557]]]} {""require"":[[""qplTagServerJS"",null,null,[[""ig_web_desktop_homepage_fb_connect_v2:test"",""comet_aa_coinflip:true"",""should_use_bt_safe_js"",""logged_out""]]]]} {""require"":[[""qplTimingsServerJS"",null,null,[""7572137110322578532"",""tierOne""]]]} {""requir",Direct,2
https://privacy.aljazeera.net/cookie/,Cookie Policy – Al Jazeera Privacy,Skip to content Facebook Twitter Email Home Our Network Al Jazeera Media Institute Al Jazeera Centre for Studies Al Jazeera Centre for Public Liberties & Human Rights Al Jazeera Forum Our Channels Al Jazeera English Al Jazeera Arabic Al Jazeera Balkans Al Jazeera Mubasher Al Jazeera Documentary AJ+ AJ+ Arabi AJ+ Español AJ+ French Careers How to Watch Submit Privacy Request Data Access Request Home Our Network Al Jazeera Media Institute Al Jazeera Centre for Studies Al Jazeera Centre for Public ,Direct,2
https://www.aljazeera.com/asia/,Asia News | Today's latest from Al Jazeera,"[4,0,2,39] {""namedChunks"":[""section-route""]} Advertisement Skip links Skip to Featured Content Skip to Content Feed play Live Sign up Enrich your Al Jazeera experience by signing in or creating an account. Close Tooltip Close navigation menu Navigation menu News Show more news sections Africa Asia US & Canada Latin America Europe Asia Pacific Middle East Explained Opinion Sport Video More Show more sections Features Economy Human Rights Climate Crisis Investigations Interactives In Pictures Scie",Direct,1
https://www.instagram.com/aljazeeraenglish/?hl=en,Al Jazeera English (@aljazeeraenglish) • Instagram photos and videos,"{""require"":[[""qplTimingsServerJS"",null,null,[""7572137136597497821"",""splash_screen_show""]]]} {""require"":[[""maybeDisableAnimations"",null,null,[]]]} {""require"":[[""replaceNativeTimer"",null,null,[]]]} {""require"":[[""bootstrapWebSession"",null,null,[1763025563]]]} {""require"":[[""qplTagServerJS"",null,null,[[""ig_web_desktop_homepage_fb_connect_v2:test"",""comet_aa_coinflip:false"",""should_use_bt_safe_js"",""logged_out""]]]]} {""require"":[[""qplTimingsServerJS"",null,null,[""7572137136597497821"",""tierOne""]]]} {""requi",Direct,2
https://privacy.aljazeera.net/cookie/,Cookie Policy – Al Jazeera Privacy,Skip to content Facebook Twitter Email Home Our Network Al Jazeera Media Institute Al Jazeera Centre for Studies Al Jazeera Centre for Public Liberties & Human Rights Al Jazeera Forum Our Channels Al Jazeera English Al Jazeera Arabic Al Jazeera Balkans Al Jazeera Mubasher Al Jazeera Documentary AJ+ AJ+ Arabi AJ+ Español AJ+ French Careers How to Watch Submit Privacy Request Data Access Request Home Our Network Al Jazeera Media Institute Al Jazeera Centre for Studies Al Jazeera Centre for Public ,Direct,2
https://www.youtube.com/aljazeeraenglish,Al Jazeera English - YouTube,"if (window.ytcsi) {window.ytcsi.tick('pdc', null, '');} var ytInitialData = {""responseContext"":{""serviceTrackingParams"":[{""service"":""GFEEDBACK"",""params"":[{""key"":""route"",""value"":""channel.""},{""key"":""is_owner"",""value"":""false""},{""key"":""is_alc_surface"",""value"":""false""},{""key"":""browse_id"",""value"":""UCNye-wNBqNL5ZzHSJj3l8Bg""},{""key"":""browse_id_prefix"",""value"":""""},{""key"":""logged_in"",""value"":""0""},{""key"":""visitor_data"",""value"":""Cgs5ZXRLS3JhUlpTYyicxdbIBjIKCgJQSxIEGgAgOQ%3D%3D""}]},{""service"":""GOOGLE_HELP"",""",Direct,2
https://www.instagram.com/aljazeeraenglish/?hl=en,Al Jazeera English (@aljazeeraenglish) • Instagram photos and videos,"{""require"":[[""qplTimingsServerJS"",null,null,[""7572137179489871378"",""splash_screen_show""]]]} {""require"":[[""maybeDisableAnimations"",null,null,[]]]} {""require"":[[""replaceNativeTimer"",null,null,[]]]} {""require"":[[""bootstrapWebSession"",null,null,[1763025573]]]} {""require"":[[""qplTagServerJS"",null,null,[[""ig_web_desktop_homepage_fb_connect_v2:test"",""comet_aa_coinflip:true"",""should_use_bt_safe_js"",""logged_out""]]]]} {""require"":[[""qplTimingsServerJS"",null,null,[""7572137179489871378"",""tierOne""]]]} {""requir",Direct,2
https://www.aljazeera.com/us-canada/,US & Canada News | Today's latest from Al Jazeera,"[4,0,2,39] {""namedChunks"":[""section-route""]} Advertisement Skip links Skip to Featured Content Skip to Content Feed play Live Sign up Enrich your Al Jazeera experience by signing in or creating an account. Close Tooltip Close navigation menu Navigation menu News Show more news sections Africa Asia US & Canada Latin America Europe Asia Pacific Middle East Explained Opinion Sport Video More Show more sections Features Economy Human Rights Climate Crisis Investigations Interactives In Pictures Scie",Direct,1
